Subject,Topic,Subtopic,QuestionText,Explanation,OptionA,OptionB,OptionC,OptionD,CorrectOpt
Urology,Urology,Urology,"A diabetic patient presents with sudden-onset perineal pain. On examination, foul-smelling discharge, and necrotic tissue as seen in the image is noted. Which of the following is true about the given condition?","Correct Option D - Mixed aerobic and anaerobic infection: → The patient's symptoms, along with the presented clinical picture, suggest a diagnosis of Fournier's gangrene, a severe and potentially life-threatening necrotizing fasciitis involving the skin, superficial fascia, and deep fascia of the perineal region. The structures spared are corpora cavernosa, corpora Spongiosa, urethra, testis, and cord structures. → This condition is characterized by a mixed infection caused by both aerobic and anaerobic bacteria. Escherichia coli, Proteus, Staphylococcus, Klebsiella, and Streptococcus are the most prevalent aerobic microorganisms. Bacteroides, Clostridium, and Peptostreptococcus are the three most prevalent anaerobic microorganisms. → Management IV fluids + IV antibiotics. Extensive surgical debridement. After extensive debridement, skin grafting is done over the testis. → IV fluids + IV antibiotics. 1211 → Extensive surgical debridement. → After extensive debridement, skin grafting is done over the testis. → IV fluids + IV antibiotics. → Extensive surgical debridement. → After extensive debridement, skin grafting is done over the testis.",Anti-gas gangrene serum indicated for all cases 1176,Urinary diversion is the next step,Bilateral orchidectomy must be done,Mixed aerobic and anaerobic infection,D
Urology,Urology,Urology,Which of the following statements accurately describes the condition mentioned below?,Correct Option B: 1214 The give image is of fournier gangrene which occurs due to mixed flora aerobic and anaerobic infection,A Patient must be started on anti-gas gangrene serum therapy,It is a mixed flora aerobic and anaerobic infection,Bilateral orchiectomy is generally performed,Compulsory urinary diversion is performed 1178,B
Urology,Urology,Urology,What is the identified condition in the image provided for a patient presenting with abdominal pain and sterile pyuria?,"Correct Option A: The give X ray is of Putty kidney → The term ""putty kidney"" is a descriptive term and not a formal medical diagnosis. It highlights the significant loss of renal parenchyma and the contracted appearance of the kidney on imaging.",Putty kidney,Nephrocalcinosis,Staghorn calculus,Psoas calcification,A
Urology,Urology,Urology,What is the recommended initial investigation for genital tuberculosis?,"Correct option: Option C: Genital swab for polymerase chain reaction (PCR) testing Explanation of options: Endometrial biopsy: While endometrial biopsy can be useful in diagnosing genital TB, it is an invasive p rocedure and may not be the first-line investigation. Endometrial biopsy is typically considered when ot her less invasive tests, such as PCR testing, have not provided a conclusive diagnosis or when there is a strong clinical suspicion of genital TB. Urine sample for acid-fast bacilli (AFB) culture: Urine sample for AFB culture is essential in diagnosing genitourinary TB, but it may not be the early investigation of choice for genital TB. Genitourinary TB ca n involve the kidneys, bladder, and ureters, leading to the presence of mycobacteria in the urine. Howe ver, when specifically investigating for genital TB, other tests like PCR are more targeted and less inva sive. Genital swab for polymerase chain reaction (PCR) testing: This is the correct option. PCR testing is a s ensitive and specific method to detect the presence of Mycobacterium tuberculosis DNA in genital sam ples. PCR testing allows for the rapid identification of TB infection in the genital tract and can be an ear ly investigation of choice. It is less invasive compared to procedures like endometrial biopsy and provid es a targeted approach to diagnosing genital TB. Chest X-ray: While a chest X-ray is useful for diagnosing pulmonary TB (TB affecting the lungs), it may not be the primary investigation for genital TB. Genital TB is a specific form of extrapulmonary TB, and although pulmonary TB can be associated with genital TB, direct investigation of the genital tract is ne eded for a definitive diagnosis. → Endometrial biopsy involves obtaining a tissue sample from the lining of the uterus (endometrium) for pathological examination. → In cases of suspected genital TB, endometrial biopsy can reveal granulomatous inflammation, caseating necrosis, or acid-fast bacilli, which are indicative of TB infection. 1216 → It provides direct evidence of TB involvement in the genital tract.",Endometrial biopsy,Urine sample for acid-fast bacilli (AFB) culture,Genital swab for polymerase chain reaction (PCR) testing,Chest X-ray,C
Urology,Urology,Urology,Identify the investigation and the lesion depicted in the image given below. (or) Identify the investigation and the lesion depicted in the image given below.,"Correct Option B: Retrograde cystourethrogram with penile urethral stricture → Based on the image, the correct answer is B. → The image appears to be a retrograde cystourethrogram, which involves the injection of contrast material into the urethra and imaging to evaluate the urinary tract. → The narrowing or obstruction observed in the penile urethra indicates a penile urethral stricture. Incorrect Option Option A. Retrograde cystourethrogram with membranous urethral stricture: This option is incorrect. A r etrograde cystourethrogram is an imaging procedure used to evaluate the urethra and urinary bladder. However, the image provided does not show a membranous urethral stricture. Option C. Micturating cystourethrography with bulbar stricture: This option is incorrect. Micturating cyst ourethrography (MCU) is a dynamic imaging study used to assess the bladder and urethra during voidi ng. However, the image provided does not depict a bulbar stricture. Option D. Micturating cystourethrography with prostatic urethral stricture: This option is incorrect. The i mage does not show a prostatic urethral stricture, which is a narrowing or obstruction in the urethra at the level of the prostate gland.",Retrograde cystourethrogram with membranous urethra stricture,Retrograde cystourethrogram with penile urethral stricture,Micturating cystourethrography with bulbar stricture,Micturating cystourethrography with prostatic urethra stricture,B
Urology,Urology,Urology,Please identify the abnormal condition outlined below.,"Correct option: Option D: Testicular Torsion → The given image in question is suggestive of testicular torsion. → Testicular torsion is a urological emergency characterized by the twisting of the spermatic cord, which results in the twisting of the testicle. 1220 → This condition leads to the disruption of blood supply to the testicle, causing severe pain, swelling, and potential damage to the testicular tissue → Testicular torsion requires immediate medical attention and surgical intervention to restore blood flow and prevent testicular loss. Incorrect options: Option A: Hydrocele: Hydrocele refers to the accumulation of fluid within the sac that surrounds the test icle. It typically causes painless swelling of the scrotum but is unrelated to testicular torsion. Option B: Varicocele: Varicocele is the enlargement of the veins within the scrotum. It often presents a s a mass or swelling and is commonly described as a ""bag of worms"" sensation. While varicocele can cause discomfort or pain, it is not directly associated with testicular torsion. Option C: Testicular atrophy: Testicular atrophy refers to the shrinking or reduction in size of the testicl es. It can occur due to various reasons, such as hormonal imbalances, infections, or trauma. Testicular atrophy is not specific to testicular torsion but may occur as a consequence of prolonged or untreated torsion.",Hydrocele,Varicocele,Testicular atrophy,Testicular Torsion,D
Urology,Urology,Urology,"What is the most likely diagnosis for a young girl who presents with continuous dribbling of urine despite voiding normally, as reported by her parents who mention her never being completely dry since birth?","Correct Option A. → In a female an ectopic ureter opens either into the urethra below the sphincter or into the vagina. The diagnosis is made from history and confirmed by excretion orography. → A girl or woman who has dribbled urine for a long time, despite the fact that she has the desire to void and indeed voids normally, probably has an ectopic ureteral orifice. → The orifice is often difficult to see because of the valve: An intravenous injection of a dye such as indigo carmine can be used to color the urine leaking from it Incorrect Options Option B: Ureterocele: Ureterocele is a cystic enlargement of the intramural portion of the ureter thoug ht to result from congenital atresia of the ureteric orifice. Option C: Congenital megaureter: Uncommon condition which may be bilateral. This is a functional obstruction at the lower end of the ureter that leads to progressive dilatation and a tendency to infection. Option D: Vesicoureteric reflux : Vesicoureteric reflux of urine is detectable in about 35 percent of childr en with recurrent urinary infections. In some patients, the reflux is caused by high pressure in a neuropathic bladder. It may be intermittent and is often more marked when there is active infection",Ectopic ureter,Ureterocele,Congenital megaureter,Vesicoureteric reflux 1181,A
Urology,Urology,Urology,For which of the following conditions is the Whitaker test recommended?,"Correct Option A. Whitaker test → A percutaneous puncture of the kidney is made through the loin and fluid is infused at a constant rate with monitoring of intrapelvic pressure. → An abnormal rise in pressure confirms obstruction of the ureter. → Retrograde pyelography is rarely indicated but will confirm the site of obstruction immediately before corrective surgery. Procedure: Percutaneous puncture of the renal pelvis is performed or an indwelling nephrostomy tube i s used. The upper urinary tract is then perfused at a constant rate of 5--10 ml/min with saline or diluted contrast media, and a serial pressure recording is m ade in the renal pelvis and bladder. The high flow rate used will be tolerated easily in a nonobstructed system without a progressive rise in renal pelvic pressure. In obstructed systems abnor mally high pressure above 12 cm of water or a constant rise in pressure will be recorded. Incorrect Options 1222 Option B: Posterior urethral valve : The gold standard imaging modality for the diagnosis of posterior ur ethral valves is Voiding Cystourethrography (VCUG). The patient is catheterized, and a contrast agent (sodium and meglumine diatrizoate) is injected into the bladder, fluoroscopy is then used to observe vo iding and to identify reflux. Option C: Urethral atresia: Diagnosis is by Ultrasonography. Option D: Urethral stricture: Is diagnosed by cystoscopy procedure. This allows doctors to view the uret hra to see if strictures are present. A narrow, flexible scope into the urethra uses ultrasound to determi ne the location and length of strictures.",Hydronephrosis,Posterior urethral valve,Urethral atresia,Urethral stricture,A
Urology,Urology,Urology,What is the likely clinical diagnosis based on the retrograde ureteropyelogram image of a patient experiencing loin pain?,"Correct Option A: Hydronephrosis → In the provided retrograde ureteropyelogram image, if there is evidence of dilatation or swelling of the renal pelvis and calyces, it indicates that there is an obstruction in the urinary tract leading to the accumulation of urine in the kidney. This finding is consistent with the diagnosis of hydronephrosis.",Hydronephrosis,Duplex kidney,Renal carcinoma,Renal stone,A
Urology,Urology,Urology,"What is the diagnosis of the patient, a 45-year-old male, who underwent orchidectomy due to scrotal swelling, based on the histopathology finding depicted in the image provided?","Correct Option A: Seminoma → The image provided in the question is consistent with the histopathological appearance of a seminom → Seminoma: Seminoma is a type of testicular germ cell tumor. It typically presents as a painless testicular mass or swelling. → Histologically, seminomas consist of uniform, undifferentiated germ cells with clear cytoplasm and prominent nuclei.",Seminoma,Yolk-sac tumor,Embryonal cell carcinoma,Teratoma,A
Urology,Urology,Urology,"A male baby, aged 10 months, arrived with an absence of testes in the scrotum. An ultrasound examination indicated that the right testis was located within the right inguinal canal, while the left testis was found in the perineum. Please provide your analysis of this baby's diagnosis.","Correct choice: C Right-side undescended testis and left-sided ectopic testis → In the case of undescended testis the testis is usually found in the route at which it descends such as the inguinal canal. In the above patient, the right testis was found in the inguinal canal. In ectopic testis, the testis is found in places other than the route of descent of the testis as in this case the left testis is seen in the perineum. Hence the correct choice is Right-side undescended testis and left-sided ectopic testis. Incorrect choices: Option A. Bilateral undescended tesis: The left testis is found in the perineum which is indicative of ect opic testis. Hence this option is incorrect. Option B. Bilateral ectopic testis: The right testis is found in the inguinal canal which is indicative of an undescended testis. Hence this option is incorrect. Option D. Right side ectopic testis and left side undescended testis: the right testis is found in the ingui nal canal and is indicative of undescended testis whereas the left side is found in the perineum which i s indicative of ectopic testis hence, this option is incorrect.",Bilateral undescended testis,Bilateral ectopic testis,Right-side undescended testis and left-sided ectopic testis,Right side ectopic testis and left side undescended testis,C
Urology,Urology,Urology,"What is the recommended treatment for a severely obese 25-year-old male patient who has presented with severe abdominal pain and urinary disturbances? The patient's urine microscopy shows the presence of specific crystals, and a kidney ultrasound has identified a 2.5 cm renal stone.","Correct Option: B → The treatment of choice for a 2.5 cm renal stone in a 25-year-old morbidly obese male patient with severe abdominal pain and urinary disturbances is Percutaneous Nephrolithotomy (PCNL). → Percutaneous nephrolithotomy (PCNL): PCNL is a minimally invasive surgical procedure that involves making a small incision in the back and inserting a nephroscope to directly visualize and remove the kidney stone. It is considered the treatment of choice for larger stones (>2 cm) or stones that are not amenable to ESWL. In this case, with a 2.5 cm stone and severe symptoms, PCNL is the most appropriate option. Incorrect options: Option A: Extracorporeal shockwave lithotripsy (ESWL): ESWL uses shock waves to break down kidne y stones into smaller pieces that can be passed through urine. It is more suitable for smaller stones (ty pically less than 2 cm) and may not be as effective for larger stones like the one in this case (2.5 cm). Option C: Open surgery: Open surgery, also known as open nephrolithotomy, involves making a larger incision in the back to directly access and remove the kidney stone. It is now less commonly performed due to the availability of less invasive techniques like PCNL. Option D: Ureteroscopy-assisted removal: Ureteroscopy involves the insertion of a thin tube (ureterosc ope) through the urethra and bladder to reach the stone in the ureter or kidney. While ureteroscopy can be effective for smaller stones, a 2.5 cm stone in the kidney may be difficult to reach and remove solely with ureteroscopy. Therefore, the correct answer is Percutaneous nephrolithotomy (PCNL). It allows for direct visualizatio n and effective removal of the large renal stone in a minimally invasive manner, making it the treatment of choice in this case. 1233",Extracorporeal shockwave lithotripsy (ESWL),Percutaneous nephrolithotomy (PCNL),Open surgery,Ureteroscopy assisted removal,B
Urology,Urology,Urology,"An 11-month-old boy had a recent urinary tract infection that resolved with antibiotics. Vital signs are within normal limits. Physical examination revealed an empty scrotum on the right side with normal left testis. However, a mass was palpable on the right inguinal canal. The USG revealed the right testicle under the subcutaneous fast near the right inguinal canal. What is the next best step in management? (or) What should be the next course of action in managing an 11-month-old boy who recently had a urinary tract infection that was treated with antibiotics? The boy's vital signs are normal, but physical examination reveals an empty scrotum on the right side with a normal left testis. However, a mass is palpable in the right inguinal canal. Ultrasonography shows the right testicle located beneath the subcutaneous fat near the right inguinal canal, as depicted in the image. What would be the most appropriate next step in managing this condition?","Correct Option: D → The next best step in management for an 11-month-old boy with an empty scrotum on the right side, a palpable mass in the right inguinal canal, and the right testicle visualized under the subcutaneous fat near the right inguinal canal on ultrasound (USG) is surgical exploration. → Surgical exploration: This is the correct answer. Given the clinical findings and the location of the testicle on USG, surgical exploration is necessary to determine the precise location of the testicle and its blood supply. Surgical exploration allows for appropriate management, which may include orchidopexy or other interventions based on the intraoperative findings. Incorrect options: Option A: Observation: Observation alone is not appropriate in this case. The presence of an empty scr otum on the right side and a palpable mass in the right inguinal canal indicate an abnormality in testicul ar descent that requires further evaluation and intervention. Option B: Laparoscopy: While laparoscopy can be used in the management of undescended testes, it i s not the next best step in this case. Surgical exploration is the preferred initial approach when a testicle is palpable in the inguinal canal. Option C: Orchidopexy: Orchidopexy, which involves surgically securing the undescended testicle in th e scrotum, is a treatment option for undescended testes. However, in this case, the location of the testi cle under the subcutaneous fat near the right inguinal canal suggests an abnormal descent pattern that requires further evaluation before deciding on the appropriate surgical intervention. Therefore, the next best step in management for this patient is surgical exploration.",Observation,Laparoscopy,Orchiodopexy,Surgical exploration,D
Urology,Urology,Urology,"What is the probable diagnosis for a 27-year-old male patient who presented at the clinic with symptoms of headache, palpitations, and sweating? Subsequently, an abdominal ultrasound was conducted due to a family history of renal issues in his brother and father, which revealed the existence of multiple renal and pancreatic cysts. Additionally, his 24-hour urinary metanephrine levels were found to be elevated.","1238 Correct Option: B → The correct answer based on the given information is Von Hippel-Lindau (VHL) disease. → Von Hippel-Lindau disease is an autosomal dominant genetic disorder characterized by the development of multiple tumors in various organs. It is caused by mutations in the VHL gene, which plays a role in tumor suppression. → In the case described, the presence of multiple renal and pancreatic cysts on abdominal ultrasound, along with a family history of renal problems, is suggestive of Von Hippel-Lindau disease. Additionally, elevated 24-hour urinary metanephrine levels are not specific to Multiple endocrine neoplasia type 2 (MEN2) but can be seen in VHL disease due to the possible presence of pheochromocytomas. → VHL disease is associated with the development of various tumors, including hemangioblastomas in the central nervous system and retina, renal cell carcinomas, pheochromocytomas, pancreatic cysts, and other tumors in organs such as the adrenal glands, liver, and lungs. Incorrect options: Option A: Multiple Endocrine Neoplasia Type (MEN): MEN is a group of genetic disorders that affect m ultiple endocrine glands, resulting in the development of tumors. There are several types of MEN, inclu ding MEN1, MEN2A, and MEN2B. Each type is characterized by specific patterns of tumors involving v arious endocrine glands, such as the parathyroid glands, pituitary gland, adrenal glands, and pancreas. MEN syndromes are typically inherited in an autosomal dominant manner. Option C: Birt-Hogg-Dubé Syndrome: Birt-Hogg-Dubé (BHD) syndrome is a rare genetic disorder caus ed by mutations in the FLCN gene. It primarily affects the skin, lungs, and kidneys. People with BHD sy ndrome often develop benign skin tumors called fibrofolliculomas, lung cysts, and an increased risk of developing renal cell carcinoma (kidney cancer). BHD syndrome is inherited in an autosomal dominant manner. Option D: Tuberous Sclerosis: Tuberous sclerosis (TS), also known as tuberous sclerosis complex (TS C), is a genetic disorder characterized by the growth of benign tumors in various organs, including the brain, heart, kidneys, lungs, and skin. The tumors in TS are called hamartomas and can lead to a wide range of symptoms and complications, depending on the affected organs. TS is caused by mutations in the TSC1 or TSC2 genes and can be inherited or occur sporadically.",Multiple endocrine neoplasia type,Von Hippel-Lindau disease,Birt-Hogg-Dube syndrome,Tuberous sclerosis,B
Urology,Urology,Urology,"What is the clinical diagnosis of a 65-year-old male who is experiencing low backache, weight loss, progressive difficulty in urination, and had an episode of urinary retention that was relieved by catheterization? The patient's PSA level is 5.2 ng/ml, and an x-ray of the lumbar sacral spine revealed osteoblastic changes.","Correct Option C: Prostate cancer The clinical diagnosis based on the given information would be prostate cancer 1242 → Prostate cancer: Prostate cancer is a malignant condition that arises from the prostate gland. The patient's symptoms of low backache, weight loss, progressive difficulty in urination, and urinary retention episode are consistent with the clinical presentation of prostate cancer. The elevated PSA level is concerning and, in conjunction with the osteoblastic changes seen on X-ray, further supports the diagnosis of prostate cancer. Incorrect Options Option A: Benign prostatic hypertrophy (BPH): BPH is a non-cancerous condition characterized by the enlargement of the prostate gland, commonly seen in older men. While BPH can cause lower urinary tr act symptoms, such as difficulty urinating, it is unlikely to present with weight loss and osteoblastic cha nges on X-ray. Additionally, the elevated PSA level and urinary retention episode are more indicative of prostate cancer rather than BPH. Option B: Carcinoma bladder: Bladder carcinoma primarily affects the urinary bladder and may cause s ymptoms such as hematuria (blood in urine) and urinary frequency. Although the patient's urinary symp toms are suggestive of bladder involvement, the elevated PSA level and osteoblastic changes on X-ray are more consistent with prostate cancer. Bladder carcinoma would typically require additional diagno stic tests, such as cystoscopy or imaging studies, to confirm the diagnosis. Option D: Renal cell cancer: Renal cell cancer, or renal cell carcinoma, originates in the cells of the kid ney. It typically presents with symptoms such as hematuria, flank pain, and a palpable abdominal mass . The symptoms described by the patient, along with the elevated PSA level and osteoblastic changes on X-ray, are not characteristic of renal cell cancer.",Benign prostatic hypertrophy,Carcinoma bladder,Prostate cancer,Renal cell cancer,C
Urology,Urology,Urology,What is the cause of the appearance observed in intravenous pyelography (IVP)?,"Correct Option B: Ureterocele → Ureterocele: A ureterocele is a congenital abnormality characterized by the ballooning of the distal end of the ureter within the bladder. In an IVP, a ureterocele appears as a cystic or dilated structure within the bladder, often described as a ""cobra head"" appearance. This appearance is due to the contrast filling the dilated portion of the ureter within the bladder. Incorrect Options Option A: Horseshoe kidney: A horseshoe kidney is a congenital anomaly where the lower poles of both kidneys are fused. It appears as a U-shaped or horseshoe-shaped mass on imaging, typically located lower in the abdomen than a normal kidney. The appearance of a horseshoe kidney on an IVP would be characteristic of its fused and lower position, rather than a specific contrast pattern. Option C: Bladder tumor: A bladder tumor refers to the abnormal growth of cells in the bladder lining. The appearance of a bladder tumor on an IVP may vary depending on its size, location, and other factors. It can appear as a filling defect or irregular mass within the bladder, causing distortion or obstruction of the normal contras t flow. Option D: Posterior urethral valve: Posterior urethral valves are a congenital abnormality in males where there is a flap-like obstruction in the posterior urethra. This cond ition is typically diagnosed in infancy or childhood. While an IVP may show associated findings, such a s bladder distention or bilateral hydronephrosis, the specific appearance related to posterior urethral va lves is not a distinct pattern.",Horseshoe kidney,Ureterocele,Bladder tumor,Posterior urethral valve,B
Urology,Urology,Urology,"In a 30-year-old male who presented with abdominal pain and is currently undergoing evaluation, the following observation is noted in his contrast-enhanced computed tomography (CECT) scan. Can you identify the probable medical condition indicated by the arrow in the image? 1192","Correct Option B: Horseshoe kidney → Based on the information provided, the likely condition indicated by the arrow in the image is ""Horseshoe kidney"" (Option B). → A horseshoe kidney is a congenital anomaly where the lower poles of both kidneys are fused. It appears as a U-shaped or horseshoe-shaped mass on imaging, typically located lower in the abdomen than a normal kidney. The arrow in the image likely indicates the presence of a horseshoe kidney.",Appendicitis,Horseshoe kidney,Wilms tumor,Abdominal aortic aneurysm,B
Urology,Urology,Urology,What is the likely diagnosis for a patient who visited the outpatient department (OPD) experiencing intense pain during erection and a deviated penis for the past half-year?,"Correct Option: A: Peyronie’s disease → Peyronie's disease: Peyronie's disease is a condition characterized by the development of fibrous scar tissue, called plaques, within the penis. → These plaques can cause penile curvature, pain during erection, and difficulty with sexual intercourse. → The curvature may be upward, downward, or sideways. Peyronie's disease typically develops gradually and can result in significant distress and difficulty in sexual activity. Incorrect options: Option B: Priapism: Priapism is a condition where a prolonged and often painful erection occurs unrelat ed to sexual stimulation. It is typically unrelated to penile curvature. Priapism is caused by abnormal bl ood flow in the penis, leading to stagnant blood in the erectile tissues. It is considered a urological emergency and requires immediate medical attention. Option C: Marion's disease: Marion's disease is not a recognized medical condition or term related to the symptoms described. It may be a typographical error or a misnomer. Option D: Erectile dysfunction: Erectile dysfunction (ED) refers to the inability to achieve or maintain an erection sufficient for satisfactory sexual performance. While ED can be associated with pain or disco mfort, the primary symptom is the difficulty in achieving or sustaining an erection rather than abnormal penile curvature.",Peyronie’s disease,Priapism,Marion’s disease,Erectile dysfunction,A
Urology,Urology,Urology,What is the diagnosis based on the x-ray given below? 1193,"Correct Option B: Bladder calculi → The X-ray image shows radio-opaque shadows within the pelvis, which are consistent with bladder calculi. Bladder calculi are stones that form in the bladder. → They can cause symptoms such as urinary frequency, urgency, hematuria (blood in the urine), and lower abdominal pain. → In X-ray images, bladder calculi appear as radiopaque shadows due to their mineral composition, which can be visualized within the pelvis.",Renal calculi,Bladder calculi,Schistosomiasis,Ureteric calculi,B
Urology,Urology,Urology,"A 22-year-old male presented with a hard painless testicular swelling. There were inguinal, intra-abdominal, or mediastinal lymph nodes on CT Scan. The blood investigations showed AFP levels of > 3000. USG shows uniform echotexture and small areas of necrosis. The next line of management is____.",Correct Option A: → High inguinal orchidectomy: This is the recommended initial step in the management of testicular tumors suspected to be malignant. It involves the surgical removal of the affected testicle through a high inguinal incision. The excised testicle is sent for histopathological examination to confirm the diagnosis and determine the exact type of testicular cancer.,High inguinal orchidectomy,Core needle tract biopsy,FNAC,Whole body PET/CT,A
Urology,Urology,Urology,What is the most appropriate approach for treating a 3 cm stone located in the renal pelvis when there is no evidence of hydronephrosis?,"Correct Option B: → The best management option for a 3 cm stone in the renal pelvis without evidence of hydronephrosis is PCNL (Percutaneous Nephrolithotomy) (Option B). → Percutaneous Nephrolithotomy (PCNL) is a minimally invasive surgical procedure used to remove large kidney stones. It involves making a small incision in the back and creating a tract into the kidney to access and remove the stone. PCNL is particularly effective for larger stones, typically those larger than 2 cm. → In the case of a 3 cm stone in the renal pelvis, PCNL is the preferred treatment option because it allows for direct access to the stone and provides effective clearance. The procedure involves using 1247 specialized instruments, such as a nephroscope and laser or ultrasound energy, to break up the stone into smaller fragments and remove them. The surgeon can visualize the stone and surrounding structures to ensure complete stone clearance.",ESWL,PCNL,Antegrae pyeloplasty,Retrograde pyeloplasty,B
Ophthalmology,Uveitis,Uveitis,"Which structures are affected in a pregnant woman who exhibits fever, retroorbital pain, headache, pulsatile proptosis of the right eye, and tinnitus, while having normal blood pressure and fundus?","• The scenario suggests a condition known as Cavernous Sinus Thrombosis (CST). This is a rare but serious condition often caused by the spread of a bacterial infection. The cavernous sinuses are hollow spaces located at the base of the brain, behind each eye socket. Blood clot formation in these spaces leads to CST. • Abducens Nerve (A): The Abducens nerve runs through the cavernous sinus. This nerve controls the lateral rectus muscle, which turns the eye outward. Damage to this nerve can cause double vision, a symptom consistent with the presentation. • Oculomotor Nerve (B): The Oculomotor nerve also traverses the cavernous sinus and controls most of the eye muscles. Impairment can lead to drooping eyelids and dilated pupils. • Internal Carotid Artery (C): This major blood vessel supplies blood to the brain and passes through the cavernous sinus. Inflammation or a blood clot can cause pulsatile proptosis (bulging of the eye) and tinnitus (ringing in the ears). • Cavernous Sinus (D): As the site of the suspected thrombosis, the cavernous sinus is the structure directly involved. This condition can lead to fever, headache, and retroorbital pain. • The correct answer, therefore, is option D (A,B,C,D) as the symptoms presented suggest a condition involving the Abducens nerve, Oculomotor nerve, Internal Carotid artery, and Cavernous sinus.",A. Abducens nerve Oculomotor nerve Internal carotid artery Cavernous sinus,"B. B,C,D","C. A,C,D","D. A,B,C,D",D
Ophthalmology,Uveitis,Uveitis,"Which part of the eye is frequently affected in cases of penetrating eye injury, as demonstrated by a 25-year-old male patient who initially presented with a left eye injury and was treated with corneoscleral suturing before being discharged? This patient returned 2 months later with complaints of reduced vision, along with redness, pain, and sensitivity to light in the right eye. Upon direct ophthalmoscopy, distinct yellow-white nodules were observed in the fundus.","In the given scenario, the most likely part of the eye that is affected is the Uvea. • Option A: Uvea: The uvea is the middle layer of the eye, consisting of the iris, ciliary body, and choroid. Inflammation of the uvea is known as uveitis, which can manifest as redness, pain, photophobia, and diminished vision. In this case, the presence of discrete yellow-white nodules in the fundus suggests uveitis.",A. Uvea,B. Cornea,C. Conjunctiva,D. Sclera,A
Ophthalmology,Uveitis,Uveitis,"Which medication can be administered to a patient diagnosed with acute uveitis, presenting symptoms of photophobia and blurred vision?","Among the given options, the drug that can be used in the condition of acute uveitis is Atropine. • Option A: Moxifloxacin: Moxifloxacin is an antibiotic commonly used to treat bacterial infections. However, it is not typically used in the treatment of uveitis, which is an inflammatory condition of the uvea, the middle layer of the eye. • Option B: Atropine: Atropine is a medication that dilates the pupil and temporarily paralyzes the focusing muscles of the eye. It is frequently used in the management of uveitis to relieve symptoms such as photophobia (sensitivity to light) and to prevent the formation of synechiae (adhesions between the iris and lens). By dilating the pupil and relaxing the iris muscles, Atropine helps reduce pain and inflammation associated with uveitis. • Option C: Acetazolamide: Acetazolamide is a medication primarily used to treat glaucoma by reducing the production of aqueous humor and lowering intraocular pressure. While uveitis can sometimes be associated with elevated intraocular pressure, Acetazolamide is not a first-line treatment for uveitis itself. • Option D: Methotrexate: Methotrexate is an immunosuppressive medication commonly used in the treatment of various autoimmune and inflammatory conditions. It may be prescribed for severe or chronic cases of uveitis that do not respond to other treatments. However, it is not typically the initial treatment choice for acute uveitis.",A. Moxifloxacin,B. Atropine,C. Acetazolamide,D. Methotrexate,B
Ophthalmology,Uveitis,Uveitis,"A 26-year-old patient came with complaints of blurring of vision, photophobia, and pain in the eye. There was also congestion of the eyes and joint pain. All ocular complaints are unilateral. Which of the following major histocompatibility complex can be associated with this condition?","• Patients with acute anterior uveitis could be tested positive for the HLA-B27 antigenic group. Among patients with ankylosing spondylitis, 90% of them belong to the HLA-B27 antigenic group. • Anterior uveitis is characterized by photophobia, blurred vision, pain, ciliary congestion, tenderness, and keratic precipitates. • HLA-B27-associated uveitis is characterized by symptomatic unilateral anterior uveitis. It will be of sudden onset and limited duration. • The patient here complains of symptoms of anterior uveitis such as blurring of vision, photophobia, and pain in the eye with HLA-B 27-associated ankylosing spondylitis(joint pain).",A. HLA B27,B. HLA B51,C. HLA B47,D. HLA B57,A
Vaccines,General,Vaccines,"What type of study is being conducted here, comparing the history of MMR vaccination in children with autism and those without autism?","In a case-control study, participants with a particular outcome or disease are compared to those without the outcome or disease. An illustration of a case-control study is the study mentioned, which compared the MMR vaccine history of children with autism and children without autism. Children without autism would serve as controls in this scenario, while those with autism would serve as cases. By comparing the vaccination status of the two groups, the aim of the study is to investigate the relationship between MMR vaccine history and the development of autism.",A. Cross-sectional study,B. Cohort study,C. Case-control study,D. Clinical trial,C
Microbiology,Virology,Virology,What is the causative organism?," Haemophilus influenzae - Small gram  (coccobacillary) rod. Aerosol transmission. Nontypeable
 (unencapsulated) strains are the most common cause of mucosal infections (otitis media, conjunctivitis,
 bronchitis) as well as invasive infections since the vaccine for capsular type b was introduced.
 Produces IgA protease. Culture on chocolate agar, which contains factors V (NAD+ ) and X (hematin)
 for growth; can also be grown with S aureus, which provides factor V via RBC hemolysis. Haemophilus
 causes epiglottitis (endoscopic appearance ) , can be “cherry red” in children; “thumb sign” on lateral
 neck x-ray  ), meningitis, otitis media, and pneumonia.
 Haemophilus influenzae - Small gram  (coccobacillary) rod. Aerosol transmission. Nontypeable (unen
 capsulated) strains are the most common cause of mucosal infections (otitis media, conjunctivitis, bron
 chitis) as well as invasive infections since the vaccine for capsular type b
was introduced. Produces IgA protease. Culture on chocolate agar, which contains factors V (NAD+ )
 and X (hematin) for growth; can also be grown with S aureus, which provides factor V via RBC hemoly
 sis. Haemophilus causes epiglottitis (endoscopic appearance ) , can be “cherry red” in children; “thumb
 sign” on lateral neck x-ray  ), meningitis, otitis media, and pneumonia.",A. Respiratory syncytial virus,B. Influenza virus,C. Parainfluenza virus,D. Newcastle disease virus,B
